165,137,129
165,136,128
115,102,102
120,103,103
292,268,267
296,269,264
467,562,507
243,223,223
247,217,217
231,204,204
213,191,191
414,380,380
407,380,377
143,107,107
135,108,108
292,284,284
290,286,286
799,851,851
780,811,811
640,638,638
604,617,617
67,13,7
68,14,13
77,9,28
120,191,93
122,202,95
264,257,255
269,54,249
48,102,44
54,169,46
49,-237,37
56,-711,40
61,163,46
77,223,58
276,205,205
245,207,207
507,656,562
513,665,560
171,150,150
173,151,151
391,367,367
395,371,371
418,417,405
435,443,427
548,574,574
537,558,558
278,231,231
290,245,245
173,154,154
177,181,181
419,423,423
425,461,461
191,162,162
197,162,162
449,526,459
412,458,428
254,232,232
576,505,600
249,230,230
557,629,587
240,225,225
611,771,679
228,214,214
567,596,607
254,236,236
588,641,614
248,223,223
594,679,619
214,188,188
473,478,478
252,243,243
241,220,220
529,561,551
540,566,558
55,-15,-21
226,431,139
69,35,35
196,-121,150
63,34,28
67,42,38
241,1256,199
241,420,201
81,30,30
210,1153,157
-2,-4,-4
4,0,0
59,160,41
68,87,48
157,301,144
141,230,129
74,117,117
224,1209,212
70,52,52
206,360,221
80,51,51
221,228,224
107,63,63
265,566,249
